"Compound_ID","MOA"
"Lodoxamide Tromethamine","cyclooxygenase inhibitor"
"Loganin","beta secretase inhibitor"
"Lomefloxacin HCl","bacterial DNA gyrase inhibitor"
"Lomeguatrib","O6-alkylguanine-DNA alkyltransferase inhibitor"
"Lomerizine 2HCl","calcium channel blocker"
"Lomerizine HCl","calcium channel blocker"
"Lomitapide Mesylate","microsomal trigylceride transfer protein inhibitor"
"Lomustine","DNA synthesis inhibitor"
"Lonafarnib","farnesyltransferase inhibitor"
"Lonidamine","glucokinase inhibitor"
"Loperamide HCl","opioid receptor agonist"
"Lopinavir","HIV protease inhibitor"
"Loratadine","histamine receptor antagonist"
"Lorcaserin HCl","serotonin receptor agonist"
"Lorlatinib?(PF-6463922)","ALK tyrosine kinase receptor inhibitor"
"Lornoxicam","cyclooxygenase inhibitor"
"Losartan Potassium (DuP 753)","angiotensin receptor antagonist"
"Losmapimod (GW856553X)","p38 MAPK inhibitor"
"Loteprednol etabonate","glucocorticoid receptor agonist, phospholipase inhibitor"
"Lovastatin","HMGCR inhibitor"
"Loxapine Succinate","dopamine receptor antagonist, serotonin receptor antagonist"
"Loxistatin Acid (E-64C)","cysteine peptidase inhibitor"
"Loxoprofen","prostanoid receptor antagonist, cyclooxygenase inhibitor"
"LTX-315","anticancer agent"
"Lubiprostone","chloride channel activator"
"Luliconazole","sterol demethylase inhibitor"
"Lumefantrine","antimalarial agent"
"Lumiracoxib","cyclooxygenase inhibitor"
"lurasidone","dopamine receptor antagonist, serotonin receptor antagonist"
"lutein","antioxidant"
"Luteolin","glucosidase inhibitor"
"LXS-196","PKC inhibitor"
"LY 3200882","TGF beta receptor inhibitor"
"LY2109761","TGF beta receptor inhibitor"
"LY2157299","TGF beta receptor inhibitor"
"LY2603618","CHK inhibitor"
"LY2608204","glucokinase activator"
"LY2811376","beta-secretase inhibitor"
"LY2874455","FGFR antagonist"
"LY2886721","beta-secretase inhibitor"
"LY294002","PLK inhibitor, DNA dependent protein kinase inhibitor, mTOR inhibitor, PI3K inhibitor, phosphodiesterase inhibitor"
"LY3023414","PI3K inhibitor, mTOR inhibitor"
"LY364947","p38 MAPK inhibitor, TGF beta receptor inhibitor"
"LY404039","glutamate receptor agonist"
"LY411575","gamma secretase inhibitor"
"Lynestrenol","progestogen hormone"
"Lypressin Acetate","vasopressin receptor agonist"
"M344","HDAC inhibitor"
"Macitentan","endothelin receptor antagonist"
"Madecassic acid","cyclooxygenase inhibitor"
"Madecassoside","anti-inflammatory agent"
"Mafenide Acetate","carbonic anhydrase inhibitor"
"Mafenide hydrochloride","carbonic anhydrase inhibitor"
"Magnolin","ERK1 and ERK2 phosphorylation inhibitor"
"Magnolol","PPAR receptor agonist"
"Malotilate","protein synthesis stimulant"
"Manidipine 2HCl","calcium channel blocker"
"Maprotiline HCl","tricyclic antidepressant, norepinephrine reputake inhibitor"
"Maraviroc","CC chemokine receptor antagonist"
"Marbofloxacin","bacterial DNA gyrase inhibitor"
"Marimastat (BB-2516)","matrix metalloprotease inhibitor"
"Masitinib (AB1010)","KIT inhibitor, src inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"MC1568","HDAC inhibitor"
"Mdivi-1","dynamin inhibitor"
"ME0328","PARP inhibitor, PPAR receptor antagonist"
"Mebendazole","tubulin polymerization inhibitor"
"Mebeverine Hydrochloride","acetylcholine receptor antagonist"
"Mebhydrolin napadisylate","histamine receptor antagonist"
"Mecamylamine Hydrochloride","acetylcholine receptor antagonist"
"Mechlorethamine HCl","DNA inhibitor"
"Meclizine 2HCl","constitutive androstane receptor (CAR) agonist"
"Meclofenamate Sodium","cyclooxygenase inhibitor"
"Meclofenoxate (Centrophenoxine) HCl","nootropic agent"
"Medetomidine HCl","adrenergic receptor agonist"
"Medroxyprogesterone","progesterone receptor agonist"
"Medroxyprogesterone acetate","estrogen receptor agonist"
"Medrysone","glucocorticoid receptor agonist"
"Mefenamic Acid","cyclooxygenase inhibitor"
"Mefloquine HCl","bacterial cell wall synthesis inhibitor"
"Megestrol Acetate","progesterone receptor agonist"
"Meglumine","excipient"
"Meisoindigo","STAT inhibitor"
"Melatonin","nitric oxide synthase inhibitor, melatonin receptor agonist"
"Melitracen hydrochloride","dopamine receptor antagonist"
"Meloxicam","cyclooxygenase inhibitor"
"Melphalan","DNA inhibitor, DNA alkylating agent"
"Memantine HCl","glutamate receptor antagonist"
"Menadione","phosphatase inhibitor, mitochondrial DNA polymerase inhibitor"
"Mephenesin","muscle relaxant"
"Mepivacaine HCl","potassium channel blocker, sodium channel blocker"
"Meptazinol HCl","opioid receptor agonist"
"Mequitazine","histamine receptor antagonist"
"Merestinib (LY2801653)","MET inhibitor"
"Meropenem","bacterial cell wall synthesis inhibitor"
"Meropenem Trihydrate","bacterial cell wall synthesis inhibitor"
"Mesalamine","prostanoid receptor antagonist, lipoxygenase inhibitor, cyclooxygenase inhibitor"
"Mesna","antioxidant"
"Mesterolone","androgen receptor antagonist"
"Mestranol","estrogen receptor agonist"
"Metaraminol Bitartrate","adrenergic receptor agonist"
"Metaxalone","muscle relaxant"
"Metformin HCl","insulin sensitizer"
"Methacholine chloride","acetylcholine receptor agonist"
"Methazolamide","carbonic anhydrase inhibitor"
"Methenamine","bacterial DNA inhibitor"
"Methimazole","antithyroid agent"
"Methocarbamol","muscle relaxant"
"Methotrexate","dihydrofolate reductase inhibitor"
"Methotrexate disodium","dihydrofolate reductase inhibitor"
"Methoxamine HCl","adrenergic receptor agonist"
"Methoxsalen","DNA synthesis inhibitor"
"Methoxyphenamine Hydrochloride","adrenergic receptor agonist"
"Methscopolamine","acetylcholine receptor antagonist"
"Methyclothiazide","chloride reabsorption inhibitor"
"Methyl 4-hydroxybenzoate","other antifungal"
"Methyl Aminolevulinate Hydrochloride","oxidizing agent"
"Methyl salicylate","TRPV antagonist"
"Methyl-Hesperidin","flavanone glycoside"
"Methylbenactyzine Bromide","acetylcholine receptor antagonist"
"Methylcobalamin","vitamin B"
"Methyldopa","adrenergic receptor agonist"
"Methylene Blue","nitric oxide production inhibitor, guanylyl cyclase inhibitor"
"Methylprednisolone","glucocorticoid receptor agonist"
"Methysergide Maleate","serotonin receptor antagonist"
"Meticrane","diuretic"
"Metoclopramide HCl","dopamine receptor antagonist, serotonin receptor antagonist"
"Metolazone","carbonic anhydrase inhibitor"
"Metoprolol Tartrate","adrenergic receptor antagonist"
"Metronidazole","DNA inhibitor"
"Metronidazole Benzoate","bacterial cell wall synthesis inhibitor"
"Metroprolol succinate","adrenergic receptor antagonist"
"Metyrapone","cytochrome P450 inhibitor"
"Mevastatin","HMGCR inhibitor"
"Mexiletine HCl","sodium channel blocker"
"Mezlocillin Sodium","bacterial cell wall synthesis inhibitor"
"MG-115","proteasome inhibitor"
"MG-132","proteasome inhibitor"
"MGCD-265","VEGFR inhibitor"
"Mianserin HCl","serotonin receptor antagonist"
"Micafungin Sodium","bacterial cell wall synthesis inhibitor"
"Miconazole Nitrate","bacterial cell wall synthesis inhibitor"
"Midecamycin","protein synthesis inhibitor"
"Midodrine","adrenergic receptor agonist"
"Mifepristone","glucocorticoid receptor antagonist, progesterone receptor antagonist"
"Miglitol","glucosidase inhibitor"
"Milbemycin Oxime","bacterial cell wall synthesis inhibitor"
"Milciclib (PHA-848125)","growth factor receptor inhibitor, CDK inhibitor"
"Mildronate","gamma butyrobetaine hydroxylase inhibitor"
"Milnacipran HCl","serotoninâ€“norepinephrine reuptake inhibitor (SNRI)"
"Milrinone","phosphodiesterase inhibitor"
"Miltefosine","membrane integrity inhibitor"
"Minaprine dihydrochloride","serotonin reuptake inhibitor"
"Minocycline HCl","bacterial cell wall synthesis inhibitor"
"Mirabegron","adrenergic receptor agonist"
"Miransertib (ARQ 092) HCl","AKT inhibitor"
"Mirtazapine","serotonin receptor antagonist, adrenergic receptor antagonist"
"Misoprostol","prostanoid receptor agonist"
"Mitapivat","pyruvate kinase isozyme activator"
"Mitomycin C","thymidylate synthase inhibitor"
"Mitotane","antineoplastic agent"
"Mitoxantrone 2HCl","topoisomerase inhibitor"
"Mitoxantrone HCl","topoisomerase inhibitor"
"Mivacurium chloride","acetylcholine receptor antagonist"
"Mizoribine","immunosuppressant, inosine monophosphate dehydrogenase inhibitor"
"MK-0752","gamma secretase inhibitor"
"MK-1775","WEE1 kinase inhibitor"
"MK-2048","HIV integrase inhibitor"
"MK-2206 2HCl","AKT inhibitor"
"MK-2461","FGFR inhibitor, VEGFR inhibitor"
"MK-2866 (GTx-024)","androgen receptor modulator"
"MK-5108 (VX-689)","Aurora kinase inhibitor"
"MK-801 (Dizocilpine)","glutamate receptor antagonist"
"MK-8245","stearoyl-CoA desaturase inhibitor"
"MK-8745","Aurora kinase inhibitor"
"MK-8776 (SCH 900776)","CHK inhibitor"
"ML130 (Nodinitib-1)","NOD1 inhibitor"
"ML133 HCl","potassium channel blocker"
"ML161","protease-activated receptor inhibitor"
"ML167","DYRK inhibitor, CLK inhibitor"
"ML347","ALK tyrosine kinase receptor inhibitor"
"MLN2238","proteasome inhibitor"
"MLN2480","RAF inhibitor"
"MLN8054","Aurora kinase inhibitor"
"MLN9708","proteasome inhibitor"
"MLR-1023","src activator"
"MM-102","WDR5/MLL interaction inhibitor"
"MNS (3.4-Methylenedioxy-?-nitrostyrene. MDBN)","syk inhibitor, src inhibitor"
"Mocetinostat (MGCD0103)","HDAC inhibitor"
"Moclobemide (Ro 111163)","monoamine oxidase inhibitor"
"Moexipril HCl","angiotensin converting enzyme inhibitor"
"Moguisteine","ATP-sensitive potassium channel inhibitor"
"Molidustat (BAY 85-3934)","hypoxia inducible factor inhibitor"
"Molindone hydrochloride","dopamine receptor antagonist"
"Molsidomine","guanylate cyclase stimulant"
"Momelotinib (CYT387)","JAK inhibitor"
"Mometasone furoate","glucocorticoid receptor agonist"
"Monobenzone","melanin inhibitor"
"Monomethyl auristatin E (MMAE)","tubulin polymerization inhibitor"
"Montelukast Sodium","leukotriene receptor antagonist"
"Morantel tartrate","acetylcholine receptor agonist"
"Morin Hydrate","cytochrome P450 inhibitor"
"Moroxydine HCl","antiviral"
"Mosapride","serotonin receptor agonist"
"Motesanib Diphosphate (AMG-706)","KIT inhibitor, VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Motolimod (VTX-2337)","toll-like receptor agonist"
"Moxidectin","chloride channel antagonist"
"Moxifloxacin","bacterial DNA gyrase inhibitor"
"Moxisylyte hydrochloride","adrenergic receptor antagonist"
"Moxonidine","imidazoline receptor agonist"
"Mozavaptan","vasopressin receptor antagonist"
"MPEP","glutamate receptor antagonist"
"MPI-0479605","mitotic kinase inhibitor"
"MRS 2578","purinergic receptor antagonist"
"MSX-122","CC chemokine receptor antagonist"
"Mubritinib (TAK 165)","protein tyrosine kinase inhibitor"
"Mupirocin","isoleucyl-tRNA synthetase inhibitor"
"Mupirocin calcium","bacterial cell wall synthesis inhibitor"
"Mycophenolate Mofetil","dehydrogenase inhibitor, inositol monophosphatase inhibitor"
"Mycophenolic acid","dehydrogenase inhibitor, inositol monophosphatase inhibitor"
"Myricetin","cytochrome P450 inhibitor, androgen receptor agonist"
"Myricitrin","PKC inhibitor"
"N-Ethylmaleimide (NEM)","cysteine protease inhibitor"
"Nabumetone","cyclooxygenase inhibitor"
"Nadifloxacin","bacterial DNA gyrase inhibitor"
"Nadolol","adrenergic receptor antagonist"
"Nafamostat Mesylate","serine protease inhibitor"
"Nafarelin Acetate","vasopressin receptor agonist"
"Naftopidil","adrenergic receptor antagonist"
"Nalidixic acid","bacterial DNA gyrase inhibitor"
"Naloxone HCl","opioid receptor antagonist"
"Naltrexone HCl","opioid receptor antagonist"
"Nanchangmycin","other antibiotic"
"Napabucasin","STAT inhibitor"
"Naphazoline HCl","adrenergic receptor agonist"
"Naproxen","cyclooxygenase inhibitor"
"Naproxen Sodium","cyclooxygenase inhibitor"
"Naratriptan","serotonin receptor agonist"
"Naringenin","aromatase inhibitor, TRPV antagonist"
"Naringin","cytochrome P450 inhibitor"
"Natamycin","fungal ergosterol inhibitor"
"Nateglinide","insulin secretagogue"
"Nazartinib (EGF816. NVS-816)","EGFR inhibitor"
"Nebivolol","adrenergic receptor antagonist"
"Necrostatin-1","RIPK inhibitor"
"Nedaplatin","DNA inhibitor"
"Nefazodone hydrochloride","norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin receptor antagonist, adrenergic inhibitor"
"Nefiracetam","benzodiazepine receptor agonist, acetylcholine receptor agonist"
"Nefopam HCl","cyclooxygenase inhibitor"
"Nelarabine","DNA synthesis inhibitor, T cell inhibitor"
"Nelfinavir Mesylate","HIV protease inhibitor"
"Nemiralisib (GSK2269557)","PI3K inhibitor"
"Neomycin sulfate","bacterial cell wall synthesis inhibitor"
"Neostigmine Bromide","acetylcholinesterase inhibitor"
"Nepafenac","cyclooxygenase inhibitor"
"Neratinib (HKI-272)","EGFR inhibitor"
"Neticonazole Hydrochloride","bacterial cell wall synthesis inhibitor"
"Netilmicin Sulfate","bacterial cell wall synthesis inhibitor"
"Netupitant","tachykinin antagonist"
"Nevirapine","non-nucleoside reverse transcriptase inhibitor"
"NEXIUM (esomeprazole magnesium)","proton pump inhibitor"
"Nexturastat A","HDAC inhibitor"
"NH125","eukaryotic translation elongation factor 2 inhibitor"
"Nicaraven","free radical scavenger"
"Nicarbazin","bacterial cell wall synthesis inhibitor"
"Nicardipine HCl","calcium channel blocker"
"Nicergoline","adrenergic receptor antagonist"
"Niclosamide","DNA replication inhibitor, STAT inhibitor"
"Nicorandil","potassium channel activator, nitric oxide donor"
"Nicotinamide (Vitamin B3)","protein synthesis stimulant"
"Nicotinic Acid","NAD precursor, vitamin B"
"Nifedipine","calcium channel blocker"
"Niflumic acid","cyclooxygenase inhibitor"
"Nifuratel","other antifungal"
"Nifuroxazide","bacterial DNA inhibitor"
"Nifurtimox","DNA inhibitor"
"Nikethamide","immunostimulant"
"Nilotinib (AMN-107)","Abl kinase inhibitor, Bcr-Abl kinase inhibitor"
"Nilotinib hydrochloride","Abl kinase inhibitor, Bcr-Abl kinase inhibitor"
"Nilutamide","androgen receptor antagonist"
"Nilvadipine","calcium channel blocker"
"Nimesulide","cyclooxygenase inhibitor"
"Nimodipine","calcium channel blocker"
"Nimorazole","bacterial DNA inhibitor"
"Nimustine Hydrochloride","DNA alkylating agent"
"Nintedanib (BIBF 1120)","FGFR inhibitor, VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Nintedanib Ethanesulfonate Salt","VEGFR inhibitor, FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Niraparib (MK-4827) tosylate","PARP inhibitor"
"Nirogacestat (PF-03084014. PF-3084014)","gamma secretase inhibitor"
"Nisin","bacterial cell wall synthesis inhibitor"
"Nisoldipine","calcium channel blocker"
"Nitazoxanide","pyruvate ferredoxin oxidoreductase inhibitor"
"Nithiamide","bacterial DNA inhibitor"
"Nitisinone","hydroxyphenylpyruvate dioxygenase inhibitor"
"Nitrendipine","calcium channel blocker"
"Nitrofural","bacterial DNA inhibitor"
"Nitrofurantoin","DNA inhibitor"
"Nitroxoline","cathepsin inhibitor"
"Nizatidine","histamine receptor antagonist"
"NLG919","indoleamine 2,3-dioxygenase inhibitor"
"NMDA (N-Methyl-D-aspartic acid)","glutamate receptor agonist"
"NMS-873","ATPase inhibitor"
"NMS-E973","HSP inhibitor"
"NMS-P937 (NMS1286937)","PLK inhibitor"
"Nobiletin","MEK inhibitor"
"Nocodazole","tubulin polymerization inhibitor"
"Nonivamide","TRPV agonist"
"Noradrenaline bitartrate monohydrate","adrenergic receptor agonist"
"Nordihydroguaiaretic acid (NDGA)","lipoxygenase inhibitor"
"Norethindrone","progesterone receptor agonist"
"Norethisterone Enanthate","contraceptive agent"
"Norfloxacin","bacterial DNA gyrase inhibitor"
"Nortriptyline hydrochloride","tricyclic antidepressant"
"Novobiocin Sodium","bacterial DNA gyrase inhibitor"
"NPS-2143","calcium receptor antagonist"
"NSC 23766","Ras GTPase inhibitor"
"NSC 319726","p53 activator"
"NSC 405020","matrix metalloprotease inhibitor"
"NSC697923","ubiquitin-conjugating enzyme inhibitor"
"NSI-189","neurotrophic agent"
"NU6027","CDK inhibitor"
"NU7026","DNA dependent protein kinase inhibitor, PI3K inhibitor, mTOR inhibitor"
"NU7441 (KU-57788)","DNA dependent protein kinase inhibitor"
"Nutlin-3","MDM inhibitor"
"NVP-ADW742","insulin growth factor receptor inhibitor"
"NVP-AEW541","IGF-1 inhibitor"
"NVP-BHG712","ephrin inhibitor"
"NVP-BSK805 2HCl","JAK inhibitor"
"NVP-BVU972","MET inhibitor"
"NXY-059","free radical scavenger"
"Nylidrin Hydrochloride","adrenergic receptor agonist"
"Nystatin (Fungicidin)","fungal ergosterol inhibitor"
"O6-Benzylguanine","O6-alkylguanine-DNA alkyltransferase inhibitor"
"OAC1","Oct activator"
"Obatoclax Mesylate (GX15-070)","autophagy inducer"
"Obeticholic Acid","FXR agonist"
"OC000459","CRTH receptor antagonist"
"Oclacitinib?maleate","JAK inhibitor"
"Octenidine Dihydrochloride","membrane integrity inhibitor"
"Octodrine (2-Amino-6-methylheptan)","antitumor agent"
"Octreotide Acetate","vasopressin receptor agonist"
"Odanacatib (MK-0822)","cathepsin inhibitor"
"ODM-203","FGFR inhibitor"
"Ofloxacin","bacterial DNA gyrase inhibitor"
"OG-L002","histone lysine demethylase inhibitor"
"Olanexidine Hydrochloride semihydrate","bacterial cell wall synthesis inhibitor"
"Olanzapine","dopamine receptor antagonist, serotonin receptor antagonist"
"Olaparib (AZD2281. Ku-0059436)","PARP inhibitor"
"Oleuropein","estrogen receptor agonist"
"Oligomycin A","ATPase inhibitor"
"Olivetol","cannabinoid receptor antagonist"
"Olmesartan","angiotensin receptor antagonist"
"Olmesartan Medoxomil","angiotensin receptor antagonist"
"Olmutinib (HM61713. BI 1482694)","Bruton's tyrosine kinase (BTK) inhibitor, EGFR inhibitor"
"Olodaterol hydrochloride","adrenergic receptor antagonist"
"Olopatadine HCl","histamine receptor antagonist"
"Olprinone","phosphodiesterase inhibitor"
"Oltipraz","like (NRF2) activator, nuclear factor erythroid derived"
"Olutasidenib (FT-2102)","IDHm1 inhibitor"
"Omadacycline tosylate","bacterial cell wall synthesis inhibitor"
"Omarigliptin (MK-3102)","dipeptidyl peptidase inhibitor"
"Omaveloxolone (RTA-408)","NFkB pathway activator"
"Ombitasvir (ABT-267)","HCV inhibitor"
"Omecamtiv mecarbil (CK-1827452)","cardiac myosin activator"
"Omeprazole","ATPase inhibitor"
"Omeprazole Sodium","proton pump inhibitor"
"Ondansetron HCl","serotonin receptor antagonist"
"Ondansetron Hydrochloride Dihydrate","serotonin receptor antagonist"
"ONO-4059 (GS-4059) hydrochloride","Bruton's tyrosine kinase (BTK) inhibitor"
"ONX-0914 (PR-957)","proteasome inhibitor"
"Opaganib (ABC294640)","sphingosine kinase inhibitor"
"Oprozomib (ONX 0912)","proteasome inhibitor"
"Org 27569","cannabinoid receptor modulator"
"Oridonin","BCL inhibitor"
"Orlistat","lipase inhibitor"
"Ornidazole","antiprotozoal agent"
"Orphenadrine Citrate","acetylcholine receptor antagonist"
"Orphenadrine Hydrochloride","acetylcholine receptor antagonist"
"ORY-1001 (RG-6016) 2HCl","histone lysine demethylase inhibitor"
"Osalmid","ribonucleotide reductase inhibitor"
"Oseltamivir phosphate","neuraminidase inhibitor"
"Oseltamivir Phosphate","neuraminidase inhibitor"
"OSI-027","mTOR inhibitor"
"OSI-420","EGFR inhibitor"
"OSI-906 (Linsitinib)","IGF-1 inhibitor"
"OSI-930","KIT inhibitor, VEGFR inhibitor"
"Osilodrostat (LCI699)","cytochrome P450 inhibitor"
"Osimertinib (AZD9291)","EGFR inhibitor"
"Osimertinib mesylate","EGFR inhibitor"
"Ospemifene","selective estrogen receptor modulator (SERM)"
"Osthole","calcium channel blocker"
"OSU-03012 (AR-12)","phosphoinositide dependent kinase inhibitor"
"Otilonium Bromide","acetylcholine receptor antagonist"
"OTX015","bromodomain inhibitor"
"Ouabain","ATPase inhibitor"
"Oxaceprol","anti-inflammatory agent"
"Oxacillin sodium monohydrate","bacterial cell wall synthesis inhibitor"
"Oxaliplatin","DNA inhibitor"
"Oxamflatin","HDAC inhibitor"
"Oxantel Pamoate","bacterial cell wall synthesis inhibitor"
"Oxaprozin","cyclooxygenase inhibitor"
"Oxcarbazepine","sodium channel blocker"
"Oxethazaine","local anesthetic"
"Oxfendazole","anthelmintic agent"
"Oxibendazole","tubulin polymerization inhibitor"
"Oxiracetam","acetylcholine receptor agonist"
"Oxprenolol HCl","adrenergic receptor antagonist"
"Oxybenzone","lipase inhibitor"
"Oxybuprocaine HCl","local anesthetic"
"Oxybutynin","acetylcholine receptor antagonist"
"Oxyclozanide","bacterial cell wall synthesis inhibitor"
"Oxymetazoline HCl","adrenergic receptor agonist"
"Oxytetracycline Dihydrate","bacterial cell wall synthesis inhibitor"
"Oxytocin (Syntocinon)","oxytocin receptor agonist"
"Ozagrel","thromboxane synthase inhibitor"
"Ozagrel HCl","thromboxane synthase inhibitor"
"Ozagrel sodium","thrombin inhibitor"
"Ozanimod (RPC1063)","sphingosine 1 phosphate receptor agonist"
"Ozenoxacin","antiinfective drug"
"p-Anisaldehyde","bacterial cell wall synthesis inhibitor"
"p-Coumaric Acid","bacterial cell wall synthesis inhibitor"
"P22077","ubiquitin specific protease inhibitor"
"P276-00","CDK inhibitor"
"P5091 (P005091)","ubiquitin specific protease inhibitor"
"PA-824","nitric oxide donor"
"PAC-1","caspase activator"
"Paclitaxel","tubulin polymerization inhibitor"
"Pacritinib (SB1518)","JAK inhibitor, FLT3 inhibitor"
"Paeoniflorin","anticonvulsant"
"Paeonol","anti-inflammatory agent"
"Palbociclib (PD-0332991) HCl","CDK inhibitor"
"Palbociclib (PD0332991) Isethionate","CDK inhibitor"
"Palifosfamide","DNA alkylating agent"
"Paliperidone","dopamine receptor antagonist, serotonin receptor antagonist"
"Palmatine","dopamine synthesis inhibitor"
"Palomid 529 (P529)","AKT inhibitor, mTOR inhibitor"
"Palonosetron HCl","serotonin receptor antagonist"
"Pamabrom","diuretic"
"Pamiparib (BGB-290)","PARP inhibitor"
"Pancuronium dibromide","acetylcholine receptor antagonist"
"Panobinostat","HDAC inhibitor"
"Pantoprazole","ATPase inhibitor"
"Pantoprazole sodium","proton pump inhibitor"
"Parecoxib","cyclooxygenase inhibitor"
"Parecoxib Sodium","calcium channel blocker"
"Pargyline hydrochloride","monoamine oxidase inhibitor"
"Paritaprevir (ABT-450)","HCV inhibitor"
"Paromomycin Sulfate","bacterial 30S ribosomal subunit inhibitor"
"Paroxetine HCl","selective serotonin reuptake inhibitor (SSRI)"
"Paroxetine mesylate","selective serotonin reuptake inhibitor (SSRI)"
"Pazopanib","KIT inhibitor, VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Pazopanib HCl (GW786034 HCl)","KIT inhibitor, VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Pazufloxacin mesylate","topoisomerase inhibitor"
"PCI-24781 (Abexinostat)","HDAC inhibitor"
"PCI-34051","HDAC inhibitor"
"PD0325901","MEK inhibitor"
"PD123319","angiotensin antagonist"
"PD128907 HCl","dopamine receptor agonist"
"PD168393","EGFR inhibitor"
"PD173074","FGFR inhibitor, VEGFR inhibitor"
"PD184352 (CI-1040)","MEK inhibitor"
"PD318088","MEK inhibitor"
"PD98059","MEK inhibitor"
"Peficitinib (ASP015K. JNJ-54781532)","JAK inhibitor"
"Pefloxacin Mesylate","bacterial DNA gyrase inhibitor"
"Pefloxacin Mesylate Dihydrate","bacterial DNA gyrase inhibitor"
"Pelitinib (EKB-569)","EGFR inhibitor"
"Pemetrexed","dihydrofolate reductase inhibitor, thymidylate synthase inhibitor"
"Pemetrexed Disodium Hydrate","dihydrofolate reductase inhibitor"
"Pemirolast potassium","histamine receptor antagonist"
"Penciclovir","DNA directed DNA polymerase inhibitor"
"Penfluridol","T-type calcium channel blocker"
"Penicillamine","chelating agent"
"Penicillin G Procaine","bacterial cell wall synthesis inhibitor"
"Penicillin G Sodium","penicillin binding protein inhibitor"
"Penicillin V potassium salt","bacterial cell wall synthesis inhibitor"
"Pentamidine","anti-pneumocystis agent"
"Pentoxifylline","phosphodiesterase inhibitor"
"Pentoxyverine Citrate","sodium channel blocker"
"Pergolide mesylate","dopamine receptor agonist"
"Pergolide Mesylate","dopamine receptor agonist"
"Perifosine (KRX-0401)","AKT inhibitor"
"Perillyl alcohol","apoptosis stimulant, farnesyltransferase inhibitor"
"Perindopril Erbumine","angiotensin receptor antagonist"
"Permethrin","bacterial cell wall synthesis inhibitor"
"Perospirone hydrochloride","dopamine receptor antagonist, serotonin receptor antagonist"
"Perphenazine","dopamine receptor antagonist"
"Pexidartinib (PLX3397)","tyrosine kinase inhibitor"
"PF-00562271","focal adhesion kinase inhibitor"
"PF-04217903","c-Met inhibitor"
"PF-04457845","FAAH inhibitor"
"PF-04691502","PI3K inhibitor, mTOR inhibitor"
"PF-04929113 (SNX-5422)","HSP inhibitor"
"PF-04965842","JAK inhibitor"
"PF-05212384 (PKI-587)","PI3K inhibitor, mTOR inhibitor"
"PF-06651600","JAK inhibitor"
"PF-06700841","JAK inhibitor"
"PF-3845","FAAH inhibitor"
"PF-4708671","ribosomal protein inhibitor"
"PF-477736","CHK inhibitor"
"PF-4981517","cytochrome P450 inhibitor"
"PF-5274857","smoothened receptor antagonist"
"PF-562271 HCl","focal adhesion kinase inhibitor"
"PF-573228","focal adhesion kinase inhibitor"
"PFI-1 (PF-6405761)","bromodomain inhibitor"
"PH-797804","p38 MAPK inhibitor"
"PHA-665752","c-Met inhibitor"
"PHA-680632","Aurora kinase inhibitor"
"PHA-767491","CDC inhibitor"
"PHA-793887","CDK inhibitor"
"Phenacetin","cyclooxygenase inhibitor"
"Phenazine methosulfate","dopamine receptor antagonist"
"Phenazopyridine HCl","local anesthetic"
"Phenformin HCl","AMPK activator"
"Phenindione","vitamin K antagonist"
"Pheniramine Maleate","histamine receptor antagonist"
"Phenolphthalein","indicator dye"
"Phenothiazine","dopamine receptor antagonist"
"Phenoxybenzamine HCl","adrenergic receptor antagonist"
"Phenprocoumon","vitamin K antagonist"
"Phensuximide","succinimide antiepileptic"
"Phentolamine Mesylate","adrenergic receptor antagonist"
"Phenylbutazone","prostanoid receptor antagonist, cyclooxygenase inhibitor"
"Phenylephrine HCl","adrenergic receptor agonist"
"Phenylpiracetam","noradrenaline uptake inhibitor"
"Phenytoin","hydantoin antiepileptic"
"Phenytoin sodium","hydantoin antiepileptic"
"Phenytoin Sodium","sodium channel blocker"
"Phloretin","sodium/glucose cotransporter inhibitor"
"Phlorizin","sodium/glucose cotransporter inhibitor"
"PHT-427","AKT inhibitor, pyruvate dehydrogenase inhibitor"
"Phthalylsulfathiazole","dihydropteroate synthetase inhibitor"
"Phytol","PPAR receptor agonist"
"PI-103","PI3K inhibitor, mTOR inhibitor"
"Piceatannol","SYK inhibitor"
"Picolinic acid (PCL 016)","chelating agent"
"Picropodophyllin (PPP)","IGF-1 inhibitor"
"Picrotoxinin","GABA receptor antagonist"
"Pidotimod","interleukin receptor agonist, interferon receptor agonist"
"Pifithrin-?","HSP inhibitor, TP53 inhibitor"
"PIK-293","PI3K inhibitor"
"PIK-294","PI3K inhibitor"
"PIK-75","DNA protein kinase inhibitor, PI3K inhibitor"
"PIK-93","PI3K inhibitor"
"Pilocarpine HCl","acetylcholine receptor agonist"
"Pimasertib (AS-703026)","MEK inhibitor"
"Pimavanserin","serotonin receptor inverse agonist"
"Pimecrolimus","calcineurin inhibitor"
"Pimobendan","phosphodiesterase inhibitor, calcium sensitizer"
